[2026-02-18 16:59:07] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"A_xjNgEwyHE2WB3VYd6jwMb"}
[2026-02-18 16:59:16] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"A1Yp8T_icsYGTJEO0j2yHRJ"}
[2026-02-18 17:01:12] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AnrI1RgJwJz59DuxHrfNiH_"}
[2026-02-18 18:15:28] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AIIvXlEaw5mlf2N7RyGGB12"}
[2026-02-18 19:51:55] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AnqN-FSzJ-DBLqaOj6SqLIq"}
[2026-02-18 22:26:03] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AM_f5UzA_JbM6p2rk8n4oT1"}
[2026-02-18 23:05:13] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AOlXrd81vQnkunMATcZNAxr"}
[2026-02-19 00:05:56] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"Awtu_dEPLgTuPIYSycrRnSN"}
[2026-02-19 00:07:15] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"Ap3PKa4n-gKGOdzr-rgGRRe"}
[2026-02-19 00:12:39] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AF5n4kAmsfAOCyYxUWqJu3b"}
[2026-02-19 03:51:00] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AE5_y8Q3FKqAHc9PgkIBC41"}
[2026-02-19 07:27:45] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"A3DlIuD2CEOULYh-olIXfmT"}
[2026-02-19 08:35:47] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"ABlTB5F_MLk3JYhEWf3ZHem"}
[2026-02-19 09:00:11] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AxJ6KtAiZ3upO8ACVJn5AUw"}
[2026-02-19 09:09:54] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"ACt-Xt0W4s12gMfxwXTirVu"}
[2026-02-19 09:18:47] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"Ale-kNVKvkBOeMq4vpJNtVW"}
[2026-02-19 11:38:58] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AUA4l85TbJRGAjwLqEQAQvd"}
[2026-02-19 11:52:20] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AdREsQ0Pz8oBzC8Jmk-WLh4"}
[2026-02-19 11:53:12] Evento: InitiateCheckout | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"AiyP8pdl-2INLEOVog7CBgG"}
[2026-02-21 21:09:31] Evento: PageView | HTTP: 200 | Response: {"events_received":1,"messages":[],"fbtrace_id":"A7OOoiBqwpAx66daU7i-Wbu"}
